,MBA,BMS,BTD,M.SC(IR),BBA-H,MS(SE),BS(SE),BS(CS),BSDS,BFD,MS(CS),MS(BA),BS(IR),ADFD,BS(A&F),BSTN,MPHIL(IDS),BS(ECO),MPHIL(IR),MS(MGT),BS(SC),PH.D (CS),FDFD,MSTN,FDTD,M.SC(DS)
A,54,12,19,18,59,3,28,55,4,26,2,2,24,0,6,0,0,2,0,3,1,0,0,2,0,0
B,87,32,28,14,70,2,67,135,7,49,1,4,39,3,5,4,0,4,0,1,1,1,0,0,0,0
B+,56,24,24,17,65,4,59,83,7,50,2,1,26,2,3,0,3,0,0,4,0,0,0,0,2,0
C,101,42,13,2,87,1,64,127,6,26,1,1,15,0,5,5,0,0,0,0,1,0,1,0,2,1
C+,94,39,9,15,76,0,81,152,7,42,0,0,22,2,6,6,1,0,1,0,0,1,1,0,0,1
F,39,31,0,5,45,0,39,90,1,17,0,0,13,1,1,4,0,0,0,0,0,0,2,0,0,1
W,20,9,12,0,38,0,36,47,0,8,0,0,9,1,6,0,0,0,0,0,0,0,0,0,1,1
