,MBA,BMS,BTD,M.SC(IR),BBA-H,MS(SE),BS(SE),BS(CS),BSDS,BFD,MS(CS),MS(BA),BS(IR),ADFD,BS(A&F),BSTN,MPHIL(IDS),BS(ECO),MPHIL(IR),MS(MGT),BS(SC),PH.D (CS),FDFD,MSTN,FDTD,M.SC(DS)
A,168,163,163,165,170,164,165,169,165,164,164,163,168,163,163,163,163,163,163,165,164,163,163,163,163,163
B,334,323,322,321,337,320,335,335,322,322,320,320,325,321,321,320,320,320,320,320,320,320,320,320,320,320
B+,245,240,241,239,253,241,247,249,240,239,239,238,246,237,237,237,238,237,237,237,237,237,237,237,237,237
C,280,273,266,266,287,267,277,289,266,268,267,267,270,266,266,268,266,266,266,266,267,266,266,266,266,267
C+,323,314,314,314,334,313,319,328,314,317,313,313,317,313,313,313,314,313,314,313,313,314,314,313,313,313
F,177,174,172,174,182,172,175,182,172,175,172,172,177,172,172,172,172,172,172,172,172,172,172,172,172,172
W,130,127,125,125,128,125,127,131,125,126,125,125,127,125,126,125,125,125,125,125,125,125,125,125,125,125
